nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,1.2365768,-0.7276152,-0.25279,0.016279105,-0.0033276198,-0.0067377975,1.858499,6.506393,6.9867296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.2359872,-0.72766405,-0.2533118,-0.007156713,-0.02250238,0.008175905,2.0081367,6.5291376,7.013066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.2368491,-0.72605556,-0.25328878,-0.022070415,0.013716611,-0.009933591,2.023699,6.531532,7.159112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.2370132,-0.7260302,-0.25337952,0.006691725,0.021173462,-0.017390441,1.8764555,6.5171666,7.1160164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.2375804,-0.72672576,-0.2529512,0.004561196,0.0019987023,-0.005672533,1.8608932,6.5387144,7.0453873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.2373134,-0.7267162,-0.25333405,-0.0060914485,-1.3182647E-4,0.008175905,1.9734207,6.521955,7.072921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.2371831,-0.72664636,-0.25371125,-0.008221977,0.0019987023,-0.014194649,1.9865888,6.5231524,7.1172132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.2386091,-0.7264375,-0.25265026,0.008822254,0.013716611,-0.007803062,1.905186,6.519561,7.0860887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.2381135,-0.726573,-0.25296202,0.008822254,-0.0075886776,7.190535E-4,1.9243397,6.5399117,7.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.2381542,-0.7268271,-0.25381094,-0.016744092,0.0019987023,-0.007803062,1.941099,6.5375175,7.1040454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.2381262,-0.7266671,-0.25395358,0.0024306672,0.014781876,-0.01206412,1.9219455,6.518364,7.197419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.2374448,-0.7284717,-0.2539537,0.027997013,-0.0054581487,-0.0024767397,1.8992004,6.5231524,7.001095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.2365699,-0.7285273,-0.25435093,-0.007156713,-0.008653942,-0.007803062,1.9758149,6.555474,7.0346136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.238237,-0.72775334,-0.25277662,-0.012483035,0.012651347,-0.020586235,1.9542671,6.5267434,7.1627035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.2380325,-0.7277338,-0.25280568,0.018409634,0.013716611,-0.009933591,1.8441339,6.519561,7.096863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
