nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,1.6082884,-0.74105287,-0.14128414,-0.085741006,0.05583264,-0.05353726,0.8435072,6.439056,7.4275618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.6101257,-0.74040395,-0.14090864,-0.033543047,-0.0112790195,-0.037558295,0.9105448,6.3863835,7.3952403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.6152301,-0.73851305,-0.13884218,-0.042065162,0.013222062,-0.039688822,0.8842086,6.44145,7.3353853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.6169237,-0.73796,-0.1383043,-0.042065162,0.024939971,-0.02690565,0.8351275,6.4366617,7.428759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.6205003,-0.7354994,-0.13490242,-0.023955666,0.00789574,-0.013057212,0.8722376,6.451027,7.438336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.6220515,-0.7349273,-0.13437147,-5.1984907E-4,-0.0112790195,-0.018383535,0.8135797,6.4258876,7.4790373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.624122,-0.73585624,-0.13330962,0.01119806,0.017483119,-0.016253006,0.8207623,6.385186,7.242011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.6246945,-0.7355567,-0.13284823,-0.03993463,0.0750074,-0.0013393037,0.8004116,6.392369,7.2312374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.6272683,-0.7309303,-0.12759848,-0.054848336,0.04624526,-0.004535097,0.76569563,6.3959603,7.524527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.6282334,-0.7304948,-0.12738085,0.022915969,-0.024062192,0.013574398,0.8662521,6.382792,7.3880577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.6285322,-0.7303496,-0.12720054,-0.0101072285,0.019613648,0.013574398,0.85667527,6.40434,7.203704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.6289366,-0.728518,-0.12502314,-0.054848336,0.04624526,0.012509134,0.8099884,6.3720183,7.4096055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.6302522,-0.7279781,-0.12475443,-0.01436589,-0.0027547737,0.0135728,0.8387188,6.3636384,7.4850225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.6293416,-0.7279212,-0.12599704,0.012265721,-0.0038200382,0.033812825,0.76090723,6.4378586,7.348553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.6295898,-0.7277113,-0.12639962,-0.019692212,-0.009146361,0.033812825,1.0769418,6.453421,7.3174286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.6293881,-0.7239732,-0.12624827,-0.04845435,0.030268423,-0.014124075,1.091307,6.5324297,7.512556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.6294851,-0.72374916,-0.12614366,-0.012235361,0.0047020772,-0.03862516,0.8949825,6.4079313,7.3593273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.630439,-0.72333163,-0.12803324,0.002678341,-0.05069167,-0.010928282,0.9847651,6.405537,7.3736925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.6298573,-0.7233275,-0.12820399,0.0080046635,-0.1636097,-0.07377888,0.9919477,6.430676,7.218069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.6503991,-0.72220373,-0.13729262,-0.04845435,-0.350031,-0.23463382,0.8854057,6.2798414,7.063643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.6494712,-0.7225375,-0.13605893,-0.082542814,-0.43738267,-0.31452864,0.51550156,6.2175922,6.8050694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.6503394,-0.7222452,-0.13383894,-0.3190315,-0.21261187,-0.40614137,0.17791912,6.0775313,7.098359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.6973788,-0.70026666,-0.11533361,-0.45325485,-0.34150887,-0.6468911,-0.16804303,5.5316534,7.5436807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.7005912,-0.6990245,-0.11152479,-0.3967958,-0.83259577,-1.0112116,-0.5989993,5.920711,7.960272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.7875843,-0.68334234,-0.13028319,-0.35205472,-1.3002468,-0.87166196,-0.47090954,5.122245,7.5748053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.7888001,-0.6824082,-0.12719218,-0.46710327,-1.7114389,-0.74489546,-0.17043723,5.192874,7.0217447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.8668847,-0.65798765,-0.26104507,-0.4958654,-2.823575,-0.76087445,1.2636896,5.3652563,7.737611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.8698041,-0.6560372,-0.26077557,-0.19119978,-1.8712286,-0.88231456,2.111237,5.407155,8.352921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.9097999,-0.6479223,-0.31942037,-0.25191987,-1.2437879,-0.43170774,2.4105122,5.648969,7.227646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.9066732,-0.6483485,-0.32282656,-1.0316948,-0.3755984,-0.021580126,3.2987611,5.547216,6.1885624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.9078676,-0.6471063,-0.3221407,-1.5153248,0.41908887,0.09879475,2.730138,6.3720183,9.198074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1.9406585,-0.5486595,-0.2819159,-0.790945,0.15383804,-0.030102242,2.8869584,5.020491,9.985766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.9447792,-0.5471209,-0.28109705,0.35421428,-0.39477316,-0.37844372,2.4583962,5.255123,10.003723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.9431688,-0.609609,-0.31605524,1.1776637,-0.5140828,-0.13875921,2.6032455,5.806987,8.354118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1.9371183,-0.61110526,-0.31789353,0.37871537,-0.41607845,-0.10573602,3.0090625,6.188862,6.9618897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
