nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,1.0775123,-0.4695325,-0.029186174,-0.07941174,0.073100574,-0.028351214,-0.1786673,-0.061650693,0.49440265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.087486,-0.46917775,-0.028162252,0.006874684,0.024098411,0.0068025123,-0.19572599,-0.09816227,0.19871874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0871086,-0.46889654,-0.028666891,0.03670209,-0.030230073,0.024912007,0.14903906,0.046686932,0.15682021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0756576,-0.47044584,-0.030621624,0.049485262,-0.014251107,0.0025414545,0.27234045,0.06868366,-0.1921347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.0658219,-0.4715096,-0.031009542,-0.062367503,0.048599493,-0.00811119,0.13826515,0.063895255,-0.46148238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0728631,-0.46759796,-0.027970864,-0.16463289,0.09973218,-0.028351214,0.00808043,0.041449618,0.06718729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.0862314,-0.4624443,-0.02461698,-0.073020145,0.048599493,-0.0091764545,-0.13452421,-0.03007716,0.50861824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.0946302,-0.4616614,-0.023633469,0.0026136262,0.027294206,0.0025414545,-0.03995324,-0.06718729,0.13871406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.0951742,-0.46101663,-0.023150746,-0.02508325,0.016641561,0.0014761902,0.038307227,-0.026485857,-0.17043723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.0980752,-0.4589505,-0.021714035,-0.062379755,0.05923749,0.0025371935,0.08140286,0.020201078,0.023493104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0997503,-0.45885673,-0.021862831,-0.064510286,0.05923749,0.0025371935,0.05117606,0.05057751,-0.004189853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.1060753,-0.45848054,-0.021992674,-0.07090187,0.024083765,-0.0017238641,0.045190558,-0.03321955,0.15023616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.1158887,-0.45580703,-0.020960337,-0.04959658,0.043258525,0.0025371935,-0.07975684,-0.0013467384,0.29418755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.123586,-0.45406282,-0.020004988,-0.00592074,0.0017132115,0.012124574,-0.013916298,-0.027682956,0.21278468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.1251271,-0.45388532,-0.02086311,-0.0144428555,-0.0014825817,0.016385632,0.063296705,-0.032172084,-0.0923264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.1255769,-0.45247275,-0.020871023,-0.045335524,0.030475352,0.012124574,0.13272856,0.0013467384,0.015412673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.1243144,-0.45146805,-0.019498384,-0.035748143,0.050715376,-0.003854393,0.08319851,0.08379706,-0.06808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.1248657,-0.44918457,-0.018180162,-0.07942399,0.058172226,-0.0027891286,0.08424597,0.05626374,-0.053570263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.1330783,-0.4453848,-0.016145818,-0.092207156,0.053911168,-6.585997E-4,-0.028281508,-0.06584055,0.1894412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.1383433,-0.44540653,-0.015525738,0.011123491,0.018757442,0.0014719291,0.021697452,-7.48188E-4,0.19841947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.1376427,-0.44495192,-0.014960332,-0.009116533,0.030475352,0.016385632,0.058209028,-0.0011971008,-0.1237503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.1404402,-0.44469115,-0.015084264,-0.045335524,0.047519583,0.0057329866,0.0724246,-0.033518825,-0.012419921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.1508958,-0.4425772,-0.013908498,-0.011247062,0.009170063,-0.005984922,0.12988544,-0.06823475,0.37065235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.1508586,-0.4437219,-0.012610071,0.027102457,0.025149029,-0.0070501864,-0.15143326,0.097862996,-0.14769232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.1484087,-0.44310176,-0.011767988,-0.060249224,0.044323787,0.01851616,-0.06239888,0.12554595,-0.11881226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.1443284,-0.4405701,-0.010676808,-0.07623911,0.06561656,0.020643227,0.060902506,0.17582418,0.058358666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.1440829,-0.43730548,-0.009956575,-0.09647913,0.045376536,0.02170849,0.23268647,0.07691373,0.042646717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.1570765,-0.43216813,-0.0097240815,-0.12524128,-0.0014950986,0.005729525,0.14514847,-0.08559271,0.39279872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.1656996,-0.4303513,-0.011863474,-0.021910625,-0.049432,0.0153169045,0.15577275,-0.11956045,0.3012205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
