nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.53155446,-0.5536255,0.12556034,0.02508671,0.15160471,0.12820244,0.24375966,0.07826047,0.042048167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5296364,-0.55601615,0.13056342,0.03467409,0.17504053,0.068547636,0.26725277,-0.050128598,0.13332711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.528765,-0.55647147,0.13004245,-0.021784924,-7.281082E-4,0.0696129,-0.037110128,0.2629133,0.28191724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5262251,-0.55687535,0.12719442,-0.04522074,-0.051860802,0.10476663,0.040102877,0.20186113,-0.27428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5275597,-0.55808306,0.12810037,-0.04522074,0.037621412,0.16868249,-0.022146367,0.2677017,-0.13063364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5212823,-0.55824685,0.12638247,-0.035633363,0.023772974,0.16335617,0.23493104,0.13362639,0.10923545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.51445174,-0.5589384,0.12258695,-0.06865656,-0.05718712,0.14311615,0.3522469,-0.02439093,-0.2641104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.51055783,-0.55724174,0.11877604,-0.08996185,-0.022033397,0.12820244,0.11522096,0.07975684,-0.043843817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.506687,-0.55618477,0.11714161,-0.032437567,0.06638355,0.18146567,-0.04878186,0.13482349,0.1225532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.49605915,-0.55935264,0.11462375,0.013371199,0.07597493,0.24857733,0.43185413,-0.023942016,-0.37948096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.48835874,-0.55777824,0.1113032,-0.11872159,0.0024716798,0.14098562,0.48407766,0.18989012,-0.22849663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.479186,-0.55458224,0.10718374,-0.16133216,0.032299083,0.16016038,0.64568627,0.3084031,-0.21413141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.47142848,-0.55199677,0.10965338,-0.10593842,0.20167613,0.14311615,0.74070615,0.030825347,0.21293432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.471441,-0.5515668,0.10867023,-0.0345657,0.1633266,0.096244514,0.643741,-0.09127894,0.8892963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.468636,-0.5510654,0.11089754,0.07302601,0.08662757,0.011023357,0.6679823,-0.2323872,0.59047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.471465,-0.5540649,0.11429307,0.09539656,0.071713865,-0.037978806,0.20709845,0.058508303,0.3007716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.47521663,-0.5566463,0.11692604,0.053851247,0.015254853,0.021676,0.11971009,0.080056116,0.39055416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.47723812,-0.55947304,0.11676711,0.110310264,0.0109937955,-0.0049556103,0.20275895,-0.17103578,0.14829087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.480229,-0.56475735,0.119091555,0.17103033,0.039755933,0.017414942,0.07347207,0.037259765,-0.034865562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.48140883,-0.5703302,0.120173484,0.09965762,0.01205906,0.008892828,0.22266077,0.07706337,-0.37783495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.48126957,-0.5724771,0.119686164,0.031480696,-0.012442023,0.008892828,0.34596214,-0.027084406,-0.33354223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.48278219,-0.5728698,0.1203196,-0.016456205,-0.0017893779,-0.028391428,0.34207156,-0.07571663,-0.50382984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.48546967,-0.5709857,0.12168912,-0.07504575,0.0109937955,-0.0262609,0.03561375,0.12539631,-0.056114104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.48610094,-0.57145196,0.12157778,-0.05160993,-0.017768344,-0.015608255,0.24944589,-0.055964466,-0.032022446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.48777992,-0.5707214,0.12169708,-0.0345657,0.028038027,-0.095503084,0.23627777,0.06374562,-0.14933833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.4939543,-0.57025427,0.12633197,-0.043093942,0.06957375,-0.077393055,-0.099060096,0.3321955,-0.022445641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.49683264,-0.56973654,0.1302814,-0.003679157,0.1100538,0.02061127,0.011073183,0.32755673,0.07586627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.49688306,-0.57056373,0.13330954,-0.017527595,0.08448745,0.014219683,0.1906383,0.11447277,0.114173494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.49763483,-0.5696233,0.1348,-0.029245503,0.05679058,-0.006020342,0.24286184,-0.009576807,0.31588498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.50048226,-0.5717541,0.1383298,0.06662829,0.08235692,-0.03904354,0.19138649,0.088585466,0.16385318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.50390255,-0.5750792,0.14260346,0.06875882,0.08342219,-0.025195101,0.02498948,0.20350714,-0.13871406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.5037305,-0.5752218,0.14251454,-0.021788653,0.013114736,0.027002856,0.16145898,0.16639702,-0.08723872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.5044165,-0.5753124,0.1421175,-0.063333966,-0.035887428,-0.003889813,0.37708676,-0.093373865,0.10908581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.5065422,-0.57391614,0.1414479,0.059171446,0.047203198,-0.053957243,0.10175357,0.074220255,0.15457565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.5103801,-0.57728803,0.1451601,0.061301973,0.04933373,-0.025195101,0.090979666,0.21173722,-0.22355859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.51209235,-0.5788076,0.14645505,-0.030310769,-0.032691635,-0.0102814,0.18076223,0.07167641,-0.19482817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.51407105,-0.57803917,0.14581892,-0.019658124,-0.01245161,-0.025195101,0.08948329,0.085293435,-0.0034416649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.5167275,-0.57908016,0.14732696,0.017626131,0.034420025,-0.016672986,-0.0338181,0.21936873,-0.09561843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.517208,-0.58069134,0.14970762,0.030409304,0.07916113,0.00889336,0.16415246,0.094570965,-0.063296705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.51865685,-0.5814514,0.15185425,0.01229981,0.04294214,-0.021999309,0.21562779,0.094570965,0.06838439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.5211896,-0.5827572,0.15338266,0.020821925,0.012049472,-0.03478248,0.117016606,0.10699089,-0.1643021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.5224787,-0.5828989,0.15509738,-0.012201273,0.04507267,0.007828096,0.027234044,0.14050971,-0.07332243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.52368695,-0.5831181,0.15513591,-0.050538275,-7.147924E-4,0.021675467,0.10908581,0.06599019,0.12195465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
