nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.8725551,-0.8928166,0.37670472,-0.648746,-1.2070112,0.09780459,0.16968904,0.1448492,-0.26081836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8535032,-0.8727978,0.32792535,-0.7360977,-0.95454353,0.118044615,0.11342531,0.12210429,-0.12434885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.83201957,-0.8503222,0.28554678,-0.80533993,-0.7691875,0.21178788,-0.104895964,0.058508303,-0.33129767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.80601007,-0.82364064,0.24085985,-0.93530214,-0.843756,0.28742164,0.014664485,0.109834,0.10474633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.7916783,-0.80862564,0.21523117,-1.0173275,-0.9715877,0.31192273,-0.024839843,-0.042945992,-0.08723872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.76685613,-0.7771769,0.1680835,-0.9970875,-0.843756,0.25759426,0.22655134,-0.2033575,0.17133506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7515747,-0.74675065,0.13139634,-0.9076053,-0.71592426,0.17343837,-0.0017956513,0.010025719,0.2947861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.7371248,-0.72197694,0.09896721,-0.6263755,-0.70207584,0.20752683,0.115370594,-0.19183542,0.6202479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.73008436,-0.71389836,0.085485935,-0.31318775,-0.5113935,0.1095225,0.22580315,-0.060453594,0.5992986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.7218902,-0.7069671,0.06721857,-0.06072007,-0.29514483,0.039215047,0.2677017,-0.15023616,-0.023193829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.7167545,-0.7069412,0.059538234,0.023435818,-0.1641173,0.015779229,0.08664017,0.08499416,0.043993454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
