nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,0.69553214,-0.6984297,0.23515686,-0.060320597,-0.028912075,0.024134897,0.015711948,-0.11881226,0.29942486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.69481957,-0.69871885,0.23405391,0.053662695,-0.0118678445,0.0070906663,0.04309563,-0.14410101,0.023642741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.6959603,-0.7009489,0.2349345,0.06644587,-0.0033457293,-0.003561978,-0.12689269,0.0175076,-0.19542672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.6968637,-0.70239186,0.23575406,0.019574234,-0.0118678445,0.009221195,-0.24001873,0.07930793,-0.1818097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.69635403,-0.7025483,0.23428771,-0.01984055,-0.072587915,0.034787543,-0.22655134,0.0899322,-0.06778584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.695226,-0.7017896,0.2305212,-0.04860269,-0.14396064,0.023069633,-0.2240075,0.08125322,0.0011971008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6938763,-0.7006777,0.22607622,-0.042211104,-0.16952698,0.049701244,-0.13063364,0.07646482,0.08259996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.69250673,-0.6994742,0.21974815,-0.05179848,-0.21320282,0.0028296087,-0.18555063,0.08319851,0.11282676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.69155025,-0.6984328,0.21031775,-0.059255335,-0.37405774,0.07420233,-0.48288056,0.24420857,0.040102877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.6875519,-0.69707525,0.19590141,-0.10399644,-0.46673575,0.10509499,-0.274585,0.2657564,-0.11552023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.679406,-0.69323367,0.17777278,-0.22437131,-0.47951892,0.15729295,-0.11552023,0.15427637,-0.29987377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.66818994,-0.686494,0.15797684,-0.2850914,-0.45821363,0.17859824,0.015412673,-0.058957215,-0.28266543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.656857,-0.6781477,0.13991612,-0.29680932,-0.36447036,0.14770557,0.37095162,-0.3462614,-0.0899322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.64834034,-0.67051816,0.12599762,-0.22650185,-0.33144718,0.10616026,0.3470096,-0.3115455,0.23208793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.64086765,-0.6652272,0.11409025,-0.12530173,-0.23237757,0.07526759,0.20395605,-0.23163901,0.027234044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.63257146,-0.6608821,0.107815035,-0.21371868,0.03713432,0.052897036,0.5092168,-0.23762453,-0.117615156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.6270291,-0.6549132,0.104939334,-0.16258599,-0.0118678445,0.031591747,0.36661214,-0.41404727,-0.041150343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.6256701,-0.65176994,0.10534134,-0.0017310547,0.043525904,-0.028063059,0.18001404,-0.28880057,0.34760815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.62613577,-0.6538037,0.10816415,0.13355753,0.075483836,-0.03125885,0.045190558,-0.0839467,0.18136078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.6286264,-0.65958905,0.113339946,0.20066918,0.09572386,-0.06215152,-0.22535424,0.09920973,-0.15023616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.63109046,-0.6644831,0.11714284,0.10373013,0.0051763863,-0.029128324,-0.33324295,0.23986909,-0.2947861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.6319642,-0.66609293,0.117707066,0.022770027,-0.02997734,-0.012084093,-0.23388357,0.082300685,-0.14185645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.6317473,-0.6661917,0.1177182,0.012117383,0.01795956,-0.0024967135,-0.093972415,-0.10998364,-0.07885902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.6322103,-0.66749936,0.12021236,0.068576396,0.07867963,-0.0110188285,-0.13826515,-0.07047931,-0.046537295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.63319,-0.67013264,0.123177,0.08881642,0.03713432,-0.009953564,-0.22700025,0.08080431,-0.09008184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.6323324,-0.6728906,0.12346345,0.069641665,-0.036368925,6.9907977E-4,-0.15098435,0.11881226,-0.043843817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.6320212,-0.6739119,0.1230182,0.017443705,-0.015063638,-0.053629406,0.112377845,-0.13661914,-0.10519524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.63256925,-0.67398846,0.1250346,-0.0049268478,0.06376593,-0.033389382,-0.020500353,-0.025288755,-0.15068507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.6344199,-0.6733267,0.12893279,-0.002796319,0.072288044,-0.03765044,-0.19901802,-0.039653964,0.0851438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
