nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,1.6390313,-0.57347846,0.2416307,-0.098803274,0.109339274,-0.001381648,0.163105,0.023044191,0.2837129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.6415719,-0.5716937,0.24389401,0.017310547,0.05501079,-0.034404844,0.23852235,0.014664485,0.46327803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.6448855,-0.5749503,0.24398635,0.21438447,-0.07495147,0.06253422,-0.20156185,0.2789245,0.6254852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.6452466,-0.5849921,0.23584759,0.41145837,-0.3764213,0.15521222,0.034267012,0.16340427,0.56158996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.6405777,-0.59923136,0.22478545,0.530768,-0.33913705,0.10514479,0.56518126,-0.10639234,-0.78918874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.6350489,-0.6137828,0.2201991,0.272974,-0.066429354,-0.051449075,0.8680478,0.28266543,-1.5744869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.636436,-0.6155137,0.22485319,-0.0892159,0.09016451,-0.12921338,-2.992752E-4,0.30047232,-0.7294833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.6373825,-0.611736,0.22961232,-0.14460965,0.064598165,-0.048253283,-0.36825815,0.51595044,-0.0947206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.6359706,-0.60896325,0.2303793,-0.13502227,0.028379178,0.04335946,-0.22685061,0.36795887,-0.11222821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.6308618,-0.60542023,0.22803514,-0.15845808,0.034770764,0.07851318,0.23642741,0.07706337,-0.28939912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.6294911,-0.59985065,0.22639748,-0.20746025,0.082707666,0.0390984,0.60797757,-0.26186582,-0.042945992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.6309831,-0.5953443,0.22750495,-0.14993596,0.07525081,-0.047188018,0.28101942,0.010923545,0.14664486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.6324178,-0.59264195,0.22951661,-0.07323693,0.06779396,-3.1638352E-4,0.08200141,0.19572599,0.041599255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.6324687,-0.5908513,0.23062252,-0.050866377,0.049684465,0.009270996,0.12030864,0.1933318,-0.085293435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.632566,-0.5900749,0.23173521,-0.047670584,0.07525081,0.020988906,0.1592144,0.095768064,-0.19123685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.6332583,-0.5886928,0.23239796,-0.072171666,0.042227615,-0.008838499,0.18195933,0.054767363,-0.13213001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.6335467,-0.5870333,0.23357625,-0.06364955,0.063532904,0.0018141454,0.0887351,0.185401,-0.102651395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.6338372,-0.5852051,0.23522735,-0.05725796,0.06246764,-0.008838499,0.12823942,0.058508303,-0.020051438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.6342542,-0.5845457,0.23662029,-0.021038972,0.047553938,0.015662583,0.041000705,0.14604631,-0.10414778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.6338799,-0.5845802,0.23670323,-0.0231695,0.021987591,0.025249964,0.17253216,0.12704232,-0.1110311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.6334897,-0.5842358,0.23633264,-0.03488741,0.032640234,0.01992364,0.24256256,0.10998364,-0.13811551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.6337194,-0.58344615,0.23677894,-0.026365295,0.032640234,-0.001381648,0.20664953,0.12075755,-0.09023148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
