nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.6595368,-0.92680573,0.18278305,-0.37519386,-0.15490809,-0.049538523,0.18031332,-0.07751228,0.07571663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.6587663,-0.91643715,0.17723785,-0.35708436,-0.084600635,0.0047899615,0.121655375,0.034865562,-0.044891283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.6582122,-0.9038005,0.17190172,-0.46148026,-0.20923658,-0.027167972,-0.18959084,0.028880058,0.047285482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.6566186,-0.89198667,0.15673009,-0.32406116,-0.46170425,0.012246813,0.19048867,0.006584055,0.34611177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.6578388,-0.88261867,0.14505434,-0.2654716,-0.2710219,-0.070843816,0.4691139,0.101454295,0.22131401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.6616352,-0.8770994,0.13771275,-0.14722727,-0.23373766,-0.05806064,0.42302552,0.35149872,0.24286184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.667307,-0.87349313,0.12782043,-0.11420407,-0.331742,-0.10812807,0.75941086,0.1743278,0.13153146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.6789334,-0.8705285,0.12025613,-0.031113444,-0.58101386,-0.28922302,0.18869302,0.08080431,0.29747957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.687478,-0.8644359,0.09818458,-0.3613454,-0.7503909,0.05485739,1.115698,0.8454525,0.18749592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.6959283,-0.85351616,0.07676778,-0.311278,-0.645995,-0.2572651,1.4449008,0.48033673,0.51789576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.7122788,-0.845346,0.06581866,-0.10674722,-0.6001886,-0.36379153,0.8771756,0.23418285,0.7188591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.7337303,-0.84916985,0.06261738,0.29379222,-0.48514006,-0.5459517,0.8795698,-0.0525228,-0.26111764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.7566295,-0.85756487,0.079161994,0.15956889,-0.113362774,-0.60241073,-0.3824737,-0.18195933,-1.079785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.7741585,-0.85581815,0.10006046,-0.12379145,-0.15490809,-0.41066316,-1.8177977,-0.5303157,-0.61770403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.7833602,-0.84718484,0.104982704,-0.31873485,-0.18047443,-0.24341665,-0.54767364,-0.22580315,-0.16130935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.7924964,-0.8371965,0.1056292,-0.23883441,-0.30935466,-0.32331946,-0.19288288,-0.08364742,0.20904374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.8053172,-0.8305906,0.104686506,-0.099284776,-0.48512328,-0.39682272,-0.11791443,-0.12300211,0.25887305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.819638,-0.82914865,0.10437354,0.10737652,-0.57034445,-0.3467553,-1.0253168,-0.58388597,-0.02124854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.824629,-0.82932705,0.099880636,-0.09076266,-0.3200073,-0.076178126,-0.78080904,-0.52866966,-0.68010294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.8236728,-0.8222358,0.10102822,-0.24948706,0.22327755,-0.05806863,-0.14619595,-0.10310031,0.07796119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.8292823,-0.81706727,0.11837178,0.02002484,0.33086926,-0.24342464,-0.6783073,-0.7009025,0.41449618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.8358476,-0.8140879,0.13337511,-0.18450592,0.1348606,-0.17098665,-0.49754503,0.17298107,0.55695117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.8386571,-0.80723894,0.13779753,0.05837436,-0.021733258,-0.037828606,-0.90066874,-0.73950905,1.0580875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.8387403,-0.81710786,0.14000899,0.4109769,-0.09097545,-0.012262259,-0.5705682,0.031124622,-0.0073322426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.8373938,-0.82656187,0.1414777,0.15850921,-0.0068195565,0.0015861788,-0.30556,-0.021547815,-0.51220953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.8311844,-0.8285003,0.14040214,-0.05454367,0.096511096,0.15498425,8.9782564E-4,0.01436521,-0.5924153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.8223863,-0.82624984,0.13721333,-0.21113753,0.06774896,0.07828522,0.41434655,0.2873042,-0.571466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.8154676,-0.81872046,0.13468589,-0.49449787,0.17853646,0.0548494,0.45175594,0.4357447,-2.2285528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.7986917,-0.7960427,0.1444583,-0.652157,0.7878677,0.33501396,0.13796587,-0.26994625,0.06823475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.7839687,-0.78312844,0.15164007,-0.31872925,0.3681535,0.2796202,-0.11342531,0.15382746,0.82121116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.7706788,-0.7801869,0.14219698,-0.028977323,-0.11547653,0.33075288,0.4305074,0.20799628,0.48452657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2.7609339,-0.7837412,0.12862815,0.0871365,-0.10269336,0.2018559,0.70494276,0.2988263,-0.08559271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2.7560513,-0.78703356,0.12493619,0.07648199,0.051764395,0.06337418,0.24884734,0.15068507,-0.17342998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.7535326,-0.79000366,0.123653054,0.13826732,-0.092046306,0.054852065,0.046537295,0.16864158,0.24316111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2.751814,-0.7974557,0.114075966,0.298057,-0.3466445,0.09639738,0.050427873,0.0068833297,0.0163105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2.7485476,-0.8065044,0.10084146,0.23733692,-0.3349266,0.08467947,0.21532851,0.046986207,-0.38277298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.745646,-0.812166,0.09174207,0.16276841,-0.25290123,0.045264684,-0.1448492,0.011222821,-0.15951368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2.73803,-0.82129973,0.08150826,0.426954,-0.38073295,0.28494918,-0.4261679,-0.05701193,-0.14754269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2.7151961,-0.8350777,0.05235094,0.22348848,-0.7173565,0.55872214,-0.89064306,0.12928689,-0.9210195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.6922083,-0.8342364,0.010965779,-0.18450779,-0.53200054,0.53209054,0.65077394,-0.14469956,-0.3871125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2.6740925,-0.8278353,-0.012220964,-0.18450779,-0.048370462,0.35738716,0.7802105,0.20874447,0.18525136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.6633008,-0.82456905,-0.021016857,-0.050284475,-0.08139366,0.179488,0.22954409,0.18839374,0.34805706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2.6566348,-0.82453305,-0.03244633,0.043458793,-0.20816013,0.17629221,0.28446108,0.15577275,0.16519992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2.647773,-0.8267354,-0.04300027,0.11589678,-0.118677914,0.19227117,0.0815525,0.2717419,0.253935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2.6404557,-0.83322346,-0.055694282,0.25118536,-0.34770977,0.08254894,0.21667525,0.4412813,0.07317279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2.6292179,-0.8446126,-0.06407339,0.28527382,-0.21881276,0.11770266,-0.93134445,1.8251299,-0.42841247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2.6133175,-0.85098004,-0.066565976,-0.0023475764,0.075200215,0.21144593,-1.8836381,3.132813,0.025887307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.6143377,-0.8462264,-0.061505727,-0.081177145,-0.26994547,-0.21679036,-2.294094,2.3144448,3.060538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2.6171346,-0.8496648,-0.07211293,0.5004746,-0.56390786,0.115547635,-1.172261,1.489792,3.7779007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2.6007912,-0.8761026,-0.102596685,1.2110059,-0.2507201,0.32220894,1.546355,1.0899603,1.6554408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2.5931551,-0.9121309,-0.116936445,1.2120712,0.07738134,-0.108157896,2.2031145,0.7375638,0.69416887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2.6048517,-0.9441187,-0.10747761,1.1460248,0.18177725,-0.42347616,1.1399393,-0.6314707,0.83976626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2.6219273,-0.9804847,-0.09188188,1.328185,0.1711246,-0.40004036,0.9244611,-1.596334,0.24765024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2.6349375,-1.0193088,-0.08575219,1.291966,0.11999192,-0.3084276,1.4009073,-2.0560207,-1.2930186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2.6441305,-1.0544184,-0.082289726,0.92338455,0.3309143,-0.15076847,1.5502456,-2.2085013,-2.4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
