nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-2.1575303,-0.6590973,-0.36224717,-0.028595692,-0.006424876,-0.013149357,-0.02184709,0.062698156,-0.042197805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.1568108,-0.6577636,-0.35874388,-0.09357682,0.14058161,-0.032324117,-0.070180036,0.058807578,-0.08544307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.1543481,-0.6539855,-0.34972563,-0.18518956,0.25030386,-0.04723782,-0.06898294,-0.027383681,-0.15726912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.1524613,-0.6488282,-0.3390476,-0.1511011,0.2279333,-0.044042025,-0.19288288,-0.07915829,0.3498527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.1440036,-0.63799804,-0.3161354,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.145106,-0.6381,-0.31585604,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.1461866,-0.6381999,-0.31558228,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.1472454,-0.63829786,-0.315314,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.148283,-0.6383938,-0.31505108,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.1492999,-0.6384879,-0.3147934,-0.106359996,0.07560048,-0.020606209,-0.15098435,-0.046686932,-0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-2.1500325,-0.6381897,-0.3141253,-0.106359996,0.061752047,-0.019540945,-0.16056114,-0.037110128,-0.043544542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.1499772,-0.6361623,-0.3123189,-0.074402064,0.04364255,-0.014214622,0.031124622,-0.06000468,0.01690905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.1490629,-0.6338269,-0.30863398,-0.091446295,0.08518787,-0.033389382,-0.039504327,-0.058358666,-0.03127426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-2.148389,-0.6317469,-0.30540416,-0.090381026,0.07240469,-0.026997795,-0.08903438,-0.06658874,-0.008529344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-2.1482236,-0.6297609,-0.3030178,-0.03072622,0.0084888255,-0.015279886,-0.04833295,-0.08693945,0.21652561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.148672,-0.63037723,-0.30436513,0.02466753,-0.046904925,-0.013149357,0.08140286,-0.039653964,-0.054767363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-2.1486034,-0.6307943,-0.30436978,-0.033922013,0.052164666,-0.021671474,0.055216275,0.008379706,-0.27862522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-2.147737,-0.6294701,-0.30157587,-0.06801048,0.060686782,-0.022736738,-0.017806875,0.0023942017,-0.083497785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-2.147486,-0.6294149,-0.30189484,0.03425491,-0.06288389,-0.007823036,0.082300685,0.084694885,-0.06479308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-2.1477034,-0.63086665,-0.30439928,0.035320174,-0.069275476,-0.017410416,0.14110826,0.08574235,-0.28909984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-2.1471467,-0.63149786,-0.30646542,-0.010486197,-0.05329651,-0.030193588,0.1770213,0.07855974,-0.13946225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-2.146726,-0.63178396,-0.30777138,0.026798058,-0.06607968,-0.040846232,0.21532851,0.048632223,-0.04249708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-2.1452007,-0.633354,-0.31022885,0.025732793,-0.098037615,-0.065347314,0.27473465,0.013766659,-0.19722237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-2.1427395,-0.6342379,-0.31155768,-0.009420932,-0.07566706,-0.08878313,0.15846622,-0.017657237,-0.15263036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-2.1389217,-0.6351871,-0.31151032,0.006558034,-0.07673233,-0.111153685,0.017357962,-0.090979666,-0.14454992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-2.1359346,-0.6361129,-0.31180754,-0.006225139,-0.09271129,-0.09943578,-0.073621705,-0.12569559,-0.19363107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-2.1319914,-0.63647443,-0.31138682,-0.0403136,-0.046904925,-0.10156631,-0.12000936,-0.061052144,-0.18614918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-2.1276321,-0.6356735,-0.30919954,-0.062684156,-0.061818626,-0.10156631,-0.32456398,-0.09651626,-0.0047884034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-2.125948,-0.63510984,-0.3085487,-0.028595692,-0.08418918,-0.06854311,-0.34087446,-0.10788871,0.100855745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-2.1243422,-0.6346481,-0.30804673,-0.036052544,-3.3289514E-5,-0.029128324,-0.27862522,-0.06359598,0.06135142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-2.1236758,-0.6337673,-0.30593354,-0.03285675,0.059621517,-0.013149357,-0.1774702,-0.028880058,0.090979666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2.1232393,-0.63315946,-0.3032599,-0.02326937,0.054295197,-0.015279886,-0.10923545,0.011073183,0.06988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.122783,-0.6331808,-0.30206147,-0.00409461,-0.018142784,-0.023802003,-0.116418056,0.0350152,-0.0031423897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
