nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.8515792,-0.5523199,-0.15503958,-0.067111656,0.06306685,-0.010319749,0.10235212,-0.25288755,-0.4397849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.8518925,-0.5502933,-0.15301287,-0.04580637,0.015129951,-0.015646072,-0.019752163,-0.28880057,-0.42781392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.8515613,-0.5490203,-0.15213968,-0.05326322,0.028978389,-0.012450278,-0.088585466,-0.29328972,-0.4511574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.8513029,-0.547591,-0.15063256,-0.037284255,0.05134894,-7.323693E-4,0.0028431145,-0.2264017,-0.32456398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.8512092,-0.54724354,-0.15025222,0.0,0.006607835,-0.0028628982,0.043394905,-0.22655134,-0.44547117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.850735,-0.5472266,-0.15017584,-0.013848438,0.009803629,-0.011385013,0.025438393,-0.3079542,-0.56158996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8510711,-0.54587054,-0.14925492,-0.04261058,0.021521537,-0.013515542,-0.015861586,-0.30660746,-0.4177882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.8505082,-0.5451349,-0.14846005,-0.014913702,0.027913123,-0.0039281626,0.0023942017,-0.2220622,-0.3585317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.8488634,-0.5454038,-0.14775822,0.007456851,0.010868893,0.0013981595,-0.07870938,-0.22819735,-0.4516063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.8477848,-0.545689,-0.1485105,0.004261058,-0.024284834,0.004593953,-0.012868834,-0.23897126,-0.49230772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.847411,-0.54553866,-0.1491324,-0.0127831735,-0.0029795447,-0.0028628982,0.06823475,-0.2805705,-0.52418053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.8465548,-0.544775,-0.14851138,-0.017044231,0.023652066,0.0056592175,-0.018704701,-0.32276833,-0.4189853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.8457408,-0.54449564,-0.14880209,0.004261058,-0.017893247,0.013116068,0.031573534,-0.21502924,-0.31603462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.8449368,-0.5451246,-0.149914,0.02130529,-0.022154305,-0.011385013,0.032172084,-0.19557635,-0.49963996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
