nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.406458,-0.012485283,0.011318834,8.309063E-5,-2.9960563E-4,-6.1598915E-4,0.015412673,0.02558803,0.02558803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.406292,-0.012498538,0.011320614,-9.821738E-4,0.0018309233,-0.0016812535,0.026186582,0.026785132,0.007631518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.4060793,-0.012488995,0.011310571,-0.0018309233,-1.6644757E-4,-0.00124849,-0.013766659,-0.008529344,0.036361936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.4059267,-0.0124576595,0.011297689,-0.0018309233,-0.0012317119,8.8203896E-4,-0.007631518,-0.034865562,0.017208325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.4057198,-0.012523167,0.011310743,0.0024301345,-0.0012317119,8.8203896E-4,0.0104746325,0.01690905,0.0052373162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.4055314,-0.012569977,0.011315785,-0.0018309233,-1.6644757E-4,8.8203896E-4,-0.0026934769,-0.015412673,0.021996727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.4054966,-0.012478556,0.011269606,0.00136487,0.0030293458,-1.8322548E-4,0.0043394906,0.011971008,0.010025719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.4052458,-0.012531493,0.011292059,-7.656588E-4,-0.0022969765,-1.8322548E-4,-0.0026934769,-0.004638766,-0.018704701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.4054189,-0.0124618,0.011250228,-7.656588E-4,-0.0012317119,-0.00124849,0.0034416649,-1.496376E-4,-0.011522096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.4055452,-0.0124497,0.01124856,-0.0018309233,8.9881686E-4,-1.8322548E-4,0.015412673,-1.496376E-4,0.006434417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.40581,-0.012443443,0.011201045,-7.656588E-4,0.0030293458,-0.0023137543,-0.0074818805,-0.0073322426,0.017208325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.4059377,-0.0124425385,0.0112175355,2.9960563E-4,8.9881686E-4,8.8203896E-4,0.0175076,8.9782564E-4,-7.48188E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.406038,-0.0124785835,0.01119046,0.00136487,8.9881686E-4,0.0019473034,0.011222821,0.0067336923,0.011222821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.4062185,-0.012465095,0.011170768,-0.002996056,-0.001381648,8.1545993E-4,-0.015113398,0.011522096,0.007631518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.4064538,-0.01244369,0.011119119,-8.6552737E-4,-3.1638352E-4,8.1545993E-4,0.016011223,-0.006434417,0.010025719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.4066622,-0.012446331,0.011096201,0.0012650015,7.488809E-4,0.0029459887,-0.01062427,-0.011372458,0.050727148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.4067636,-0.012394496,0.011174676,1.9973709E-4,7.488809E-4,0.0018807243,0.001496376,-0.007631518,0.031573534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.406771,-0.012483623,0.011243613,1.9973709E-4,-3.1638352E-4,-2.4980452E-4,-0.0104746325,0.0199018,0.032770637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.4070423,-0.012424791,0.011200433,-0.0019307918,7.488809E-4,8.1545993E-4,0.006584055,-0.011222821,0.017208325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.4071279,-0.012493722,0.011153472,0.002330266,-0.0024469125,-2.4980452E-4,0.0028431145,0.011821371,-0.007930793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.407149,-0.01255108,0.011279155,1.9973709E-4,0.0028794098,-0.0023803334,-0.009127894,0.038905777,0.018405426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.407378,-0.012511291,0.011235855,-8.6552737E-4,-3.1638352E-4,-2.4980452E-4,-0.0031423897,-0.026934769,0.012419921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.4076183,-0.012426425,0.011177941,-8.6552737E-4,7.488809E-4,-2.4980452E-4,-0.002992752,0.004189853,0.027982233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.407798,-0.012442957,0.011141121,-0.0019307918,-0.001381648,-0.0013150689,0.0028431145,-0.0028431145,4.4891282E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.4078033,-0.012445076,0.01112158,4.660532E-4,0.0015811187,3.3289514E-4,-0.0055365916,0.011522096,-0.009127894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.4080207,-0.012354612,0.011073201,4.660532E-4,-0.0016146746,0.0013981595,0.011222821,-0.004040215,0.04833295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.4082594,-0.012347142,0.010980664,0.0015313176,-5.494101E-4,0.0013981595,0.011073183,-0.021996727,0.019602526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.40835,-0.012417594,0.010984987,0.002596582,-5.494101E-4,3.3289514E-4,0.0013467384,0.0074818805,0.014814123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.4084754,-0.012406018,0.01090878,0.0015313176,-0.0016146746,-7.323693E-4,-0.033069912,-0.011821371,0.04833295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.4086225,-0.012392857,0.010887329,0.0015313176,-0.0016146746,-7.323693E-4,0.010025719,-0.0034416649,-0.0043394906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.4087892,-0.012313597,0.010850742,-0.0016644757,5.158543E-4,0.0013981595,0.020799628,-0.029777884,0.030376434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2.4088054,-0.012365891,0.010832789,0.0015313176,0.0026463831,-7.323693E-4,-0.023642741,0.0026934769,0.013617022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2.408947,-0.012302903,0.010809476,4.660532E-4,5.158543E-4,-7.323693E-4,0.015861586,-0.009576807,0.007631518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2.4090707,-0.012290624,0.010750521,-5.9921126E-4,0.0015811187,3.3289514E-4,0.017058687,-0.017956512,0.010025719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
