nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-0.48389596,-0.48524523,-0.31975356,-0.111375526,0.02540629,-0.048869804,0.048632223,-0.02064999,0.11956045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.4804181,-0.48250762,-0.31687996,-0.06983022,0.072277926,-0.041412953,0.017806875,0.02064999,0.10564415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.47735468,-0.48184913,-0.31405598,-0.04213334,0.059494752,-0.047804542,-0.037409402,-0.05566519,-0.15667057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.4739781,-0.47962114,-0.31097758,-0.09752709,0.05736422,-0.039282426,-0.024241293,-0.0724246,-0.13033436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.4708824,-0.47779545,-0.31063712,-0.04532913,-0.036379047,-0.03821716,-0.043544542,-0.089782566,0.11716624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.46966735,-0.4777608,-0.3121217,-0.005914348,-0.04916222,-0.0190424,-0.009576807,-0.052223526,-0.027533319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.46763182,-0.4755592,-0.30976483,-0.07728706,0.05416843,-0.02862978,0.12539631,0.0010474633,-0.037858315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.4664731,-0.4752303,-0.30955422,-0.082613386,0.08719163,-0.02862978,-0.0062847794,-0.05761048,0.24346039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.46353447,-0.47320008,-0.30600497,0.023913056,0.01581891,-0.025433987,-0.09247604,-0.054767363,0.17103578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.46322623,-0.4755086,-0.30625567,0.0047382964,0.024341026,-0.015846608,-0.004040215,-0.05207389,-0.30511108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-0.4615406,-0.47447687,-0.30446187,-0.06450389,0.04458105,-0.015846608,-0.023493104,-0.072574235,-0.064493805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.4596943,-0.47342336,-0.30366692,0.0047382964,-0.024661139,-0.0041286987,-0.104895964,-0.05940613,-0.033369187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.46000403,-0.4738095,-0.3052462,-0.0048490837,-0.011877964,0.0033281525,0.09427169,0.023044191,-0.1448492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-0.4592522,-0.4722474,-0.30411687,-0.054916512,0.04245052,-0.0030634343,0.15816694,0.010773907,-0.037259765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.45754528,-0.47049323,-0.30194554,-0.058112305,0.050972637,-0.016911872,0.0676362,0.0068833297,-0.007182605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.45575914,-0.47024506,-0.30078065,-0.012305935,0.023275761,-0.020107664,-0.040102877,-0.014664485,0.077811554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-0.45531175,-0.4703142,-0.3010267,0.033500437,-0.014008493,-0.008389756,0.021697452,-0.04818331,-0.09367314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.4552053,-0.47151002,-0.30178824,-0.024059797,0.015764581,-0.009474728,0.04563947,-0.048033673,-0.24121583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.45397654,-0.47044992,-0.30067554,-0.03684297,0.020025639,-0.009474728,-0.01690905,-0.053869538,0.014215573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-0.45335642,-0.4700192,-0.3004317,0.021746574,-0.020454409,0.004373709,0.009427169,-0.023942016,-0.008529344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-0.45362157,-0.4707112,-0.30130437,-0.0070155654,0.0019161444,-9.526127E-4,0.045938745,0.0058358666,-0.17522563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.45279318,-0.46931484,-0.30029175,-0.041104026,0.027482491,-0.006278935,0.02813187,-0.083497785,-0.035164837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-0.45250252,-0.468854,-0.2997658,0.0025718147,0.009372995,0.0075695026,8.9782564E-4,-0.037110128,0.0013467384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-0.45314902,-0.46874696,-0.30062312,-0.0070155654,-0.009801764,0.010765296,0.117016606,0.050278235,-0.06808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-0.4525546,-0.46839672,-0.30032885,-0.015537681,0.008307731,-0.010539993,0.0815525,0.033668462,-0.011821371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-0.45282847,-0.46815777,-0.29995927,-0.005950301,0.020025639,-0.0052136704,0.13272856,-0.022894554,0.07691373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-0.45302817,-0.4684572,-0.30041373,0.026007632,0.023221433,-0.011605257,0.09801263,0.0134673845,-0.19722237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-0.45238844,-0.46966738,-0.2997767,-0.028320855,0.020025639,-0.030780017,0.034566287,0.0362123,-0.33488896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-0.45034346,-0.4682894,-0.29862213,-0.043234557,-0.017258616,-0.025453694,0.0031423897,-0.0104746325,-0.0011971008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-0.44889903,-0.46803907,-0.29946944,0.01109393,-0.04921655,-0.019062107,-0.010324995,-0.037409402,-0.044741645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
